"establecimiento","tipo","distribución-testeo","calle","altura","piso_depto","cruce","barrio_localidad","partido_comuna_dpto","provincia","región sanitaria","teléfono","horario atención","web","mail","unidad coordinadora","responsable","UC mail","UC web","observaciones","latitude","longitude","confidence","fail"
"Unidad Sanitaria Villa Floresta","","Testeo","Jose Ingenieros","2235","","","Bahia Blanca","Bahia Blanca","Buenos Aires","Región Sanitaria I","(0291) 488-8365","","","","","","","","","-38.6854771","-62.2722049","0.9",""
"Hospital Penna","","Testeo","Lainez","","","Necochea","Bahia Blanca","Bahia Blanca","Buenos Aires","Región Sanitaria I","(0291) 459-3600","","","","","","","","","-38.7200842","-62.2187796","0.7",""
"Unidad Sanitaria Avellaneda","","Testeo","Nicaragua","2953","","","Bahia Blanca","Bahia Blanca","Buenos Aires","Región Sanitaria I","(0291) 488-8350","","","","","","","","","-38.6905485","-62.29349","0.9",""
"Unidad Sanitaria Estomba","","Testeo","Viamonte","2853","","","Bahia Blanca","Bahia Blanca","Buenos Aires","Región Sanitaria I","(0291) 488-8267","","","","","","","","","-38.6992054","-62.3024913","0.9",""
"Unidad Sanitaria Nueva Belgrano","","Testeo","Witcomb","3900","","","Bahia Blanca","Bahia Blanca","Buenos Aires","Región Sanitaria I","(0291) 488-8268","","","","","","","","","-38.6770735","-62.29504970000001","0.9",""
"Hospital Subzonal Dr. Piñeiro","","","T. Roselli","1170","","","Baradero","Baradero","Buenos Aires","Región Sanitaria IV","(03329)-480004 / 480321","","","","","","","","","-33.8070578","-59.5022191","0.5",""
"Hospital Interzonal General de Agudos “Evita Pueblo”","","","136","","","e/ 27 y 30","Berazategui","Berazategui","Buenos Aires","Región Sanitaria VI","4223-2737/2992/97","","","","","","","","","-34.7552184","-58.2320177","0.9",""
"Hospital Zonal General de Agudos “Dr Larrain”","","","Londres","4453","","","Berisso","Berisso","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8664727","-57.8893765","0.9",""
"Centro de Integración Comunitaria (Barrio Obrero)","","","169","","","33","Berisso","Berisso","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8934038","-57.9589921","0.9",""
"Unidad Sanitaria N° 17 (Los Talas)","","","45","","","e/171 y 172","Berisso","Berisso","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.860143","-57.8885034","0.9",""
"Unidad Sanitaria N° 18 (Villa Zula)","","","38","","","e/175 y 176","Berisso","Berisso","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8923862","-57.947475","0.9",""
"Unidad Sanitaria N° 19 (Villa arguello)","","","124","","","e/62 y 63","Berisso","Berisso","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9128372","-57.92867580000001","0.9",""
"Unidad Sanitaria N° 35 (El Carmen)","","","37","","","e/126 y 127","Berisso","Berisso","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8655424","-57.9064462","0.9",""
"Unidad Sanitaria N° 41 (Villa Corbalán)","","","13","","","e/153 Y 154","Berisso","Berisso","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8589091","-57.8959224","0.9",""
"Unidad Sanitaria N° 42 (Villa España)","","","27","","","164","Berisso","Berisso","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8639368","-57.8983892","0.9",""
"Unidad Sanitaria N° 43 (Villa Nueva)","","","145","","","e/ 6 y 7","Berisso","Berisso","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8884271","-57.90399549999999","0.5",""
"Unidad Sanitaria N° 44 (Villa Progreso Faes)","","","77","","","e/122 Bis y 123","Berisso","Berisso","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9189829","-57.9097199","0.7",""
"Hospital Municipal “Dr. Francisco Caram”.","","","Ruta 29","Km. 1,5","","","Brandsen","Brandsen","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.1927646","-58.2173246","0.7",""
"Centro Salud Las Mandarinas","","","Azcuénaga","","","e/ Hansen y Magdalena de Fait","Brandsen","Brandsen","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.1678494","-58.237326","0.5",""
"Centro de Salud Altamirano","","","Sebastián Echeverría","","","Los Nogales","Brandsen","Brandsen","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.1678494","-58.237326","0.5",""
"Centro de Salud Jepenner","","","Sargiotti","","","Moreno","Brandsen","Brandsen","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.6506012","-58.7989109","0.7",""
"Hospital Subzonal Especializado de Rehabilitación “Dr. José María Jorge”","","","Gorriti","300","","","Burzaco","Burzaco","Buenos Aires","Región Sanitaria VI","4294-8308/8100","","","","","","","","","-34.8286232","-58.39333420000001","0.5",""
"Centro Municipal de Almirante Brown","","","Gorriti","888","","","Burzaco","Burzaco","Buenos Aires","Región Sanitaria VI","011-42140699","","","","","","","","","-34.8286232","-58.39333420000001","0.5",""
"Ente Descentralizado Municipal “Dr. Angel Marzetti”","","","Rawson","450","","","Cañuelas","Cañuelas","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.0600553","-58.76326379999999","0.9",""
"Caps Máximo Paz","","","Calle Belgrano","","","y Colectora Ruta 205","Cañuelas","Cañuelas","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.5974454","-58.4470716","0.9",""
"Caps Santa Rosa","","","San Martín","63","","","Cañuelas","Cañuelas","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.0590574","-58.76601849999999","0.9",""
"Caps Los Pozos","","","Necochea","","","e/ Luzuriaga y Urbinea","Cañuelas","Cañuelas","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.04914249999999","-58.75950530000001","0.5",""
"Hospital Local San Carlos","","","Avda. San Martin","S/N","","","Capitan Sarmiento","Capitan Sarmiento","Buenos Aires","Región Sanitaria IV","(02478)-481311","","","","","","","","","-34.1781956","-59.79837079999999","0.7",""
"Hospital Nuestra Sra. Del Carmen","","","C. M. Espill","409","","","Carmen de Areco","Carmen de Areco","Buenos Aires","Región Sanitaria IV","(02273) - 442155","","","","","","","","","-34.3766824","-59.8227099","0.5",""
"Hospital Municipal “Ramón Carrillo\"","","","San Martín","17","","","Castelli","Castelli","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-36.0920883","-57.8078482","0.9",""
"Hospital Municipal Nuestra Señora Del\r\nCarmen","","Testeo","Avda. Garay","216","","","Chacabuco","Chacabuco","Buenos Aires","Región Sanitaria III","(02352) 430799/828","","","","","","","","","-34.6499967","-60.4682055","0.9",""
"Hospital Municipal “San Vicente de Paul”","","","Lastra","","","Hipólito Irigoyen","Chascomús","Chascomús","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.5785737","-58.01385140000001","0.5",""
"Cic B.F. Moreno","Centro de Atención Primaria de la Salud","","Estados Unidos","","","e/ Miramar y Las Flores","Chascomús","Chascomús","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.5761546","-57.985142","0.7",""
"Cic Jardin","Centro de Atención Primaria de la Salud","","Tucumán","","","Casi Quintana","Chascomús","Chascomús","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.5612307","-58.01432259999999","0.5",""
"Cic Porteño","Centro de Atención Primaria de la Salud","","J.V. Mansilla","","","Calle 3","Chascomús","Chascomús","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.6510175","-58.4931193","0.7",""
"Cic Carranza","Centro de Atención Primaria de la Salud","","Juarez","606","","","Chascomús","Chascomús","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.5686172","-58.0186127","0.9",""
"Cic Iporá","Centro de Atención Primaria de la Salud","","Reconquista","","","México","Chascomús","Chascomús","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.5785737","-58.01385140000001","0.5",""
"Cic Horacio Quintin","Centro de Atención Primaria de la Salud","","Boulevar 5","","","Calle 2","Chascomús","Chascomús","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.5822793","-57.97773520000001","0.7",""
"Hospital Municipal Local Gral.","","","Boulevard 50","","","13","Colón","Colón","Buenos Aires","Región Sanitaria IV","(02473)-430416/18/20","","","","","","","","","-33.8948855","-61.0966472","0.7",""
"Hospital Municipal San Roque","Hospital","","Lamadrid","880","","","Dolores","Dolores","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-36.3174206","-57.69011039999999","0.9",""
"Hospital Zonal Gral de Agudos “Dr Horacio\r\nCestino\"","Hospital","","San Martín","","","Estados Unidos","Ensenada","Ensenada","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8648233","-57.9085188","0.5",""
"Centro Integrador Comunitario El Dique","","","43","","","Calle 126","Ensenada","Ensenada","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8704488","-57.9026057","0.9",""
"Unidad Sanitaria Centro","","","San Martín y La Paz","","","La Paz","Ensenada","Ensenada","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.862024","-57.90923480000001","0.7",""
"Unidad Sanitaria 1º de Mayo","","","Ecuador","17","","Saenz Peña","Ensenada","Ensenada","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8587651","-57.91318930000001","0.7",""
"Unidad Sanitaria 5 de Mayo","","","Quintana","s/n","","e/Bolivia Contarelli","Ensenada","Ensenada","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8617776","-57.9167753","0.7",""
"Unidad Sanitaria Barrio Mosconi","","","J. V. Gonzáles","s/n","","e Ingeniero","Ensenada","Ensenada","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8751477","-57.9136056","0.7",""
"Unidad Sanitaria Nº 80 Villa Catella","","","36","s/n","","e/125 y 126","Ensenada","Ensenada","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8600422","-57.91316330000001","0.7",""
"Unidad Sanitaria Río Santiago (Escuela Nº 8 Río Santiago)","","","H. Irigoyen","s/n","","y Don Bosco","Ensenada","Ensenada","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8805969","-57.865125","0.7",""
"Unidad Sanitaria 101 Dr. Celestino Arce","","","Liniers","","","Pasaje Irigoyen","Ensenada","Ensenada","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.85983179999999","-57.9144794","0.7",""
"Unidad Sanitaria Campamento","","","Gallino","131","","","Ensenada","Ensenada","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8648233","-57.9085188","0.5",""
"Unidad Sanitaria Barrio Molino","","","Av. Almirante Brown","Columna 361","","","Ensenada","Ensenada","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8212964","-57.9659038","0.9",""
"Unidad Sanitaria Nº 184","","","Av. Almirante Brown","Columna 184","","","Ensenada","Ensenada","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8213674","-57.9660126","0.9",""
"Unidad Sanitaria Nº 298","","","Av. Almirante Brown","Columna 298","","","Ensenada","Ensenada","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8212964","-57.9659038","0.9",""
"Hospital Zonal “Dr. Enrique Erill”","","","Galvez","S/n","","","Escobar","Escobar","Buenos Aires","Región Sanitaria V","(03488) 43-3130","","","","","","","","","-34.3402525","-58.7849434","0.5",""
"Hospital Santamarina","","","Alvear","350","","","Monte Grande","Esteban Echeverría","Buenos Aires","Región Sanitaria VI","011-4296-8874/72, Int.110","Horario: Lunes, Miércoles y Jueves 7.30 Hs.","","","","","","","","-34.8436765","-58.52329419999999","0.9",""
"Hospital Zonal de Agudos “Madre Teresa de Calcuta”","","","R. J. Payro","355","","","Ezeiza","Ezeiza","Buenos Aires","Región Sanitaria VI","4480-0266 /0317/ 0555/0515","","","","","","","","","-34.7896575","-58.5238058","0.9",""
"Maternidad Central de Ezeiza","","","Canale","","","e/Thompson y Belgrano","Ezeiza","Ezeiza","Buenos Aires","Región Sanitaria VI","011-43860801","","","","","","","","","-34.8465756","-58.5362578","0.7",""
"Centro de Salud “El Parque”","","","Ruta 36, antes de llegar al\nbarrio Pepsi)","","","","Florencio Varela","Florencio Varela","Buenos Aires","Región Sanitaria VI","02229-493584","Viernes 15 a 18 hs.","","","","","","","","-34.7965806","-58.27601199999999","0.5",""
"Centro de Salud “La Sirena”","","","Guido Spano","1017","","(Sobre Ruta 4)","Florencio Varela","Florencio Varela","Buenos Aires","Región Sanitaria VI","4237-3417","Martes 9 a 12 hs.","","","","","","","","-34.7817052","-58.29140870000001","0.9",""
"Centro de Salud “Esmeralda”","","","Av. 13 De Diciembre","","","","Florencio Varela","Florencio Varela","Buenos Aires","Región Sanitaria VI","4237-3423","","","","","","","","","-34.7965806","-58.27601199999999","0.5",""
"Centro de Salud “San Francisco “","","","1336","","","","Florencio Varela","Florencio Varela","Buenos Aires","Región Sanitaria VI","4274-3782","Martes 14 a 15.30 hs y Miércoles 9 a\r\n10.30 hs","","","","","","","","-34.8020799","-58.2644982","0.9",""
"Centro de Salud “Presidente Perón”","","","Ruta 2","Km 31","5 Edif. 60","","Florencio Varela","Florencio Varela","Buenos Aires","Región Sanitaria VI","4221-1048","Viernes 8.30 a 11.30 hs.","","","","","","","","-34.8488094","-58.1864386","0.7",""
"Centro de Salud “Padre Mujica”","","","El Boyero","","","e/ Los Olivos y Los Algarrobos","Florencio Varela","Florencio Varela","Buenos Aires","Región Sanitaria VI","4268-2197","Jueves desde las 10 hs.","","","","","","","","-34.7965806","-58.27601199999999","0.5",""
"Centro de Salud “San Eduardo”","","","Esperandio","","","R. Peña","Florencio Varela","Florencio Varela","Buenos Aires","Región Sanitaria VI","4255-1045","Martes 16 a 19 hs. y Lunes 11.30 a 14.30 hs.","","","","","","","","-34.7965806","-58.27601199999999","0.5",""
"Centro de Salud “Malvinas”","","","Los Quebrachos","","","El Car","Florencio Varela","Florencio Varela","Buenos Aires","Región Sanitaria VI","4268-2052","","","","","","","","","-34.7965806","-58.27601199999999","0.5",""
"Hospital Municipal “Mi Pueblo”","","","Progreso","240","","","Florencio Varela","Florencio Varela","Buenos Aires","Región Sanitaria VI","4255- 1767/ 7810","Asesoramiento Pre y\r\nPost Test en el Servicio de Infectología","","","","","","","","-34.836976","-58.25855989999999","0.7",""
"Centro de Salud “Villa Hudson”","","","Tronador","","","Pozos","Florencio Varela","Florencio Varela","Buenos Aires","Región Sanitaria VI","4213-9318","","","","","","","","","-34.7965806","-58.27601199999999","0.5",""
"Centro de Salud “Pico de Oro”","","","Yugoslavia","","","La Hoya","Florencio Varela","Florencio Varela","Buenos Aires","Región Sanitaria VI","4274-2199","Jueves 10 a 12 hs y Martes 15 a 16 hs.","","","","","","","","-34.7965806","-58.27601199999999","0.5",""
"Alta Complejidad Hospital “El Cruce”","","","Av. Calchaquí","5401","","","Florencio Varela","Florencio Varela","Buenos Aires","Región Sanitaria VI","011- 42107095/7096/7089","","info@hospitalelcruce.org.ar / comunicacionsocial@hospitalelcruce.org","","","","","","","-34.7708324","-58.26974149999999","0.9",""
"Hospital Municipal F. Ameghino","","Testeo","Av. San Martín","281","","","Florentino Ameghino","Florentino Ameghino","Buenos Aires","Región Sanitaria III","(03388) 471055","","","","","","","","","-34.816667","-62.45","0.5",""
"Centro De Salud “El Tanque”","","","","","","","Miramar","General Alvarado","Buenos Aires","Región Sanitaria VIII","","","","","","","","","","-38.26449909999999","-57.86547400000001","0.5",""
"Hospital Municipal “Juan E. De La Fuente”","","","Av. España","325","","","General Belgrano","General Belgrano","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.7628309","-58.4970353","0.7",""
"Caps Callegari","","","Barrio Callegari","72","","","General Belgrano","General Belgrano","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.7671244","-58.4960965","0.5",""
"Caps Lombardo","","","Ruta 41","","","e/231 y 233","General Belgrano","General Belgrano","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.7771289","-58.5032867","0.5",""
"Caps Crucificado","","","53","","","e/126 y 128","General Belgrano","General Belgrano","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.72790990000001","-58.3324502","0.9",""
"Caps Carrillo","","","Av. 25 De Mayo","","","e/ 7 y 9","General Belgrano","General Belgrano","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.7657674","-58.4878075","0.5",""
"Caps Juana Belgrano (Chas)","","","35°52′28″S 58°34′56″O","","","","Chas","General Belgrano","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.5211981","-58.53086099999999","0.9",""
"Caps Newton","","","35°55′52″S 58°46′27″O","","","","Newton","General Belgrano","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.5212739","-58.53071120000001","0.9",""
"Caps Gorchs","","","Dr De Alzaa","S/N","","","General Belgrano","General Belgrano","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.7671244","-58.4960965","0.5",""
"Hospital Municipal “Juan y María Scasso de Campomar”","Hospital","distribución y testeo","Av. Campomar","3413","","","General Paz","General Paz","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.5163108","-58.31536910000001","0.7",""
"Hospital Municipal Gral. Viamonte","","Testeo","6 de Agosto","627","","6 de Agosto y Passo","General Viamonte / Los Toldos","General Viamonte / Los Toldos","Buenos Aires","Región Sanitaria III","0358-442458/3263/2290","","http://www.generalviamonte.gov.ar/","","","","","","","-35.0040077","-61.04426780000001","0.9",""
"Hospital Municipal Gral. Lamadrid","","","Echegaray","S/n","","","Gral Lamadrid","Gral Lamadrid","Buenos Aires","Región Sanitaria IX","02216-420036/657","","","","","","","","","-34.6036844","-58.3815591","0.5",""
"Centro de Diagnóstico de la Municipalidad\r\nde Villa Pueyrredón","","","","","","","Gral Pueyrredón","Gral Pueyrredón","Buenos Aires","Región Sanitaria VIII","","","","","","","","","","-37.9475294","-57.7799935","0.5",""
"Programa Provincial de Vih/Sida","","","Av. Independencia","1213","","","Mar del Plata","Gral Pueyrredón","Buenos Aires","Región Sanitaria VIII","(0223) 495-3805","","","","","","","","","-37.9924323","-57.549737","0.9",""
"Instituto Nacional de Epidemiología (I.N.E.)","","","Castelli","2450","","","Mar del Plata","Gral Pueyrredón","Buenos Aires","Región Sanitaria VIII","0223-494-1407 0223-494-5262","","","","","","","","","-38.00986779999999","-57.5531747","0.9",""
"Hospital Interzonal Especializado Materno Intantil","","","","","","","Mar del Plata","Gral Pueyrredón","Buenos Aires","Región Sanitaria VIII","","","","","","","","","","-37.9475294","-57.7799935","0.5",""
"Hospital Interzonal General de Agudos (H.I.G.A.)","","","Juan B Justo","","","Calle 169","Mar del Plata","Gral Pueyrredón","Buenos Aires","Región Sanitaria VIII","0223-477-0519/0262","","","","","","","","","-38.0390485","-57.5444567","0.9",""
"Hospital Local “Casa del Niño”","","","Martínez de Hoz","","","e/ 4 Y 6","Mar del Plata","Gral Pueyrredón","Buenos Aires","Región Sanitaria VIII","0223-484-2891/0136","","","","","","","","","-38.1142249","-57.84337480000001","0.9",""
"Hospital Vicente López y Planes","","","Alem","","","25 de Mayo","Gral Rodriguez","Gral Rodriguez","Buenos Aires","Región Sanitaria VII","0237 -44-0323 /44-0443","","","","","","","","","-34.6036844","-58.3815591","0.5",""
"Hospital Baldomero Sommer","","","Ruta 24","Km. 23,500","","","Gral Rodriguez","Gral Rodriguez","Buenos Aires","","(0237) 484-0880","","","","","","","","","-34.5872693","-58.8852401","0.9",""
"Hospital Zonal General de Agudos “Gobernador Domingo Mercante”","","","Cnel Suárez","800","","","Jose C. Paz","Jose C. Paz","Buenos Aires","Región Sanitaria V","(02320) 44-0000/44-0080","","","","","","","","","-34.5164021","-58.7397084","0.9",""
"Hospital Interzonal General de Agudos “Abraham Piñeyro”","","Testeo","Lavalle","1084","","","Junín","Junín","Buenos Aires","Región Sanitaria III","(02362) 433108/3313","","","","","","","","","-34.5813073","-60.9583792","0.9",""
"Hospital Dr. Equiza","","","Cuyo","4246","","","Gonzalez Catan","La Matanza","Buenos Aires","Región Sanitaria XII","02202-424820/424830","","","","","","","","","-34.6584767","-58.47981929999999","0.9",""
"Hospital Dra. Germani","","","Av. Luro","656","","","Laferrere","La Matanza","Buenos Aires","Región Sanitaria XII","4626-0315/0447","","","","","","","","","-34.7092064","-58.63685169999999","0.9",""
"Centro de Salud Roca","","","Miller","4250","","","Virrey Del Pino","La Matanza","Buenos Aires","Región Sanitaria XII","02202-440840","","","","","","","","","-34.8221947","-58.65142309999999","0.9",""
"Centro de Salud Dr. Ramón Carrillo N° 3","","","Av. Central","","","200","Ciudad Evita","La Matanza","Buenos Aires","Región Sanitaria XII","(011)4695-3917","","","","","","","","","-34.7183793","-58.56153229999999","0.7",""
"Centro de Salud Dr. Giovinazzo","","","Fco. Seguí","6164","","","Isidro Casanova","La Matanza","Buenos Aires","Región Sanitaria XII","4625-3967/4669-3906","","","","","","","","","-34.7033515","-58.5872665","0.9",""
"Hospital Zonal Gral De Agudos “Dr. Diego Paroissien”","","","Ruta 3","Km 21","","","Isidro Casanova","La Matanza","Buenos Aires","Región Sanitaria XII","4669-3490/3590","","","","","","","","","-34.6626564","-58.5188427","0.9",""
"Centro de Salud Dr. Sakamoto","","","Jaramillo","","","Dávila","Rafael Castillo","La Matanza","Buenos Aires","Región Sanitaria XII","4690-3136","","","","","","","","","-34.6775894","-58.5616913","0.5",""
"Policlínico Central San Justo, Consultorio de Infectología","Hospital","","Entre Ríos","3037","","","San Justo","La Matanza","Buenos Aires","Región Sanitaria XII","4651-0101 al 09 Int. 197","","","","","","","","","-34.6764435","-58.55995219999999","0.9",""
"Hospital del Niño de San Justo","","","Granada","","","Centenera","San Justo","La Matanza","Buenos Aires","Región Sanitaria XII","4441-9371/2776/0736","","","","","","","","","-34.6775894","-58.5616913","0.5",""
"Centro de Salud Dr. Eizaguirre","","","Juárez Celman","","","Chávez","Villa Celina","La Matanza","Buenos Aires","Región Sanitaria XII","4662-3117","","","","","","","","","-34.6775894","-58.5616913","0.5",""
"Centro de Salud Dr. Ezcurra","","","Monseñor López May","6500","","Entre Achupalia y Atalco","Villa Dorrego","La Matanza","Buenos Aires","Región Sanitaria XII","02202-451255","","","","","","","","","-34.7728463","-58.61256149999999","0.9",""
"Hospital Interzonal de Agudos y Crónicos “San Juan de Dios”","Hospital","","27","","","70","La Plata","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9204765","-57.98785830000001","0.9",""
"Hospital Interzonal Gral de Agudos “Gral Jose De San Martín\"","Hospital","","1","","","70","La Plata","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8945244","-57.96345","0.9",""
"Hospital Interzonal Gral de Agudos “Profesor Dr Rodolfo Rossi”","Hospital","","37","","","e/ 117 y 118","La Plata","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8957123","-57.95339569999999","0.9",""
"Hospital Subzonal Esp. Casa del Niño “Elina De la Serna”","Hospital","","8","483","","","La Plata","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9097309","-57.9590335","0.9",""
"Hospital Interzonal Esp. de Agudos Y\r\nCronicos “Dr Alejandro Korn”","Hospital","","520","","","175","La Plata","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8809078","-57.97209429999999","0.9",""
"Hospital Zonal Gral de Agudos “Dr Ricardo\r\nGutierrez”","Hospital","","Diag. 114","","","e/ 39 y 40","La Plata","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8946918","-57.9494006","0.9",""
"Hospital Zonal Gral de Agudos “San Roque”","Hospital","","508","","","E/ 8 Y 9","Gonnet","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9016858","-57.9697475","0.9",""
"Centro de Referencia (Centro Salud Nº 13)","","","41","770","","","Gonnet","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9114998","-57.9623001","0.9",""
"Centro Salud Nº 17","","","449","","","27","City Bell","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9269109","-57.97928270000001","0.9",""
"Centro de Salud Integral “Sandra Cabrera”","","","1","1723","","","City Bell","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9216352","-57.9269663","0.9",""
"Hospital Interzonal Esp. de Agudos (Pediátrico) “Sor María Ludovica”","Hospital","","14","1631","","","City Bell","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9322177","-57.9424509","0.9",""
"Hospital Zonal Esp. (Pediátrico) “Dr. Noel Sbarra”","Hospital","","8","1689","","","City Bell","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9276423","-57.9348743","0.9",""
"Centro de Salud Nº 1","","","145","","","e/ 59 y 60","Los Hornos","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8748495","-57.91202699999999","0.9",""
