establecimiento,tipo,testeo-distribucion,calle,altura,piso_dpto,cruce,,barrio_localidad,partido_comuna_dpto,provincia,web_estab,mail_estab,tel_estab,horario_atencion,responsable,,uc_mail,uc_web,ubicación,Comentarios
Barrio San Calal,Boca externa,Distribución,Pico,557,,,Barrio San Calal,Adolfo Sourdeaux,Buenos Aires,,,,Lunes a viernes de 9 a 11hs,,,,,,Vecina Blanca Insaurralde. Boca externa.
Barrio San Calal,Grupo de jóvenes,Distribución,Cerviño,5287,,,Barrio San Calal,Adolfo Sourdeaux,Buenos Aires,,,,,,,,,,"Magali Guzmán, Boca Externa."
Barrio San Calal,Boca externa,Distribución,Dellepiane,4660,,,Barrio San Calal,Adolfo Sourdeaux,Buenos Aires,,,,"Martes, jueves y sábados de 8 a 10hs.",,,,,,Manzanera Claudia Petisco. Boca Interna.
Barrio San Calal,Boca externa,Distribución,Plus Ultra,542,,,Barrio San Calal,Adolfo Sourdeaux,Buenos Aires,,,,"Martes, jueves y sábados de 8 a 10hs.",,,,,,Manzanera Angelica Urgabieta. Boca externa.
Barrio San Calal,Boca externa,Distribución,Rondeau,1350,,Winter,Barrio San Calal,Adolfo Sourdeaux,Buenos Aires,,,,"Martes, jueves y sábados de 8 a 10hs.",,,,,,Manzanera Teresa Rolaiser. Boca externa.
Barrio San Calal,Boca externa,Distribución,Pico,180,,,Barrio San Calal,Adolfo Sourdeaux,Buenos Aires,,,,,,,,,,Gloria Arrieta la casa de Bety. Boca externa.
Barrio San Calal,Boca externa,Distribución,Plus Ultra,1048,,,Barrio San Calal/ Adolfo Sourdeaux,,Buenos Aires,,,,"Martes, jueves y sábados de 8 a 10hs.",,,,,,Manzanera Juana Carrizo. Boca externa.
Barrio San Calal,Boca externa,Distribución,Dellepiane ,4880,,Pico,Barrio San Calal/ Adolfo Sourdeaux,,Buenos Aires,,,,,,,,,,Estela Vitiel. Boca interna.
Barrio San Calal,Boca externa,Distribución,Viedma,1490,,Pico,Barrio San Calal/ Adolfo Sourdeaux,,Buenos Aires,,,,"Lunes a viernes de 9 a 11,30hs y 15 a 18hs.",,,,,,Stella Medina. Boca externa.
Barrio San Calal,Boca externa,Distribución,Marcelo Fitte ,,,Entre General Pico y Husares,Barrio San Calal/ Adolfo Sourdeaux,,Buenos Aires,,,,Lunes a viernes de 9 a 12hs y de 14 a 16hs.,,,,,,Vecina Alejandra Noriega. Boca externa.
Barrio San Calal,Boca externa,Distribución,Nicolas Repetto,5939,,,Barrio San Calal/ Adolfo Sourdeaux,,Buenos Aires,,,,"Martes, jueves y sábados de 9 a 11hs.",,,,,,Manzanera Margarita Herrera. Boca externa.
Barrio San Calal,Boca externa,Distribución,Marcelo Fitte ,4539,,,Barrio San Calal/ Adolfo Sourdeaux,,Buenos Aires,,,,,,,,,,Vecina Marta Escobar. Boca Interna.
BARRIO VILLA CENTENARIO,,Distribución,,,,,Lomas de Zamora,,Buenos Aires,,,4286-6633,,,,,,,
"BIBLIOTECA MUNICIPAL ""DOMINGO FAUSTINO SARMIENTO""",Biblioteca,Distribución,Brown,763,,,,Morón,Buenos Aires,,,(011) 4483-2142,,,,,,,Ubicación: Biblioteca
BOLICHE BAILABLE,Disco,Distribución,Avenida Fuertes,,,Holanda,Coronel Dorrego,Coronel Dorrego,Buenos Aires,,,,De 0 a 6hs.,,,,,,
BOLICHE BAILABLE,Disco,Distribución,Avenida San Martín,590,,,Oriente,Coronel Dorrego,Buenos Aires,,,02983 495287,"Viernes, sábados y domingos de 01 a 6hs.",,,,,,
BOLICHE BAILABLE LE PARK,Disco,Distribución,Colón,,,,Punta Alta,Coronel Rosales,Buenos Aires,,,,Nocturno,,,,,,
BOLICHE BAILABLE ROKA DISCO,Disco,Distribución,Freyre,Sin número,,Entre Cifone y Alsina,Guaminí,Guaminí,Buenos Aires,,,,,,,,,,
BOLICHE RUBIK,Disco,Distribución,Benito de Miguel ,663,,,Junín,Junín,Buenos Aires,,,02362 15529685,,,,,,,
BROWN NOCHE,,Distribución,,,,,Almirante Brown,,Buenos Aires,,vanguardiavi@hotmail.com,,,,,,,,"Prevencion, Distribucion de folleteria y material"
BUSCANDO UN LUGAR,ONG,Distribución,Toledo,,,y Barker,Barrio Santa Paula,Moreno,Buenos Aires,,,,Viernes por la tarde,,,,,,Referente: Emilse Guzmán
C. A Ampliación Devoto,,Distribución,Los Patos,,,M. Bravo,Grand Bourg,,Buenos Aires,,,(02320) 411475,De 8 a 18hs,,,,,,Spiñeira Lorena
C. A Unión y Progreso,,Distribución,Dante Alighieri ,,,Cerrito,Los Polvorines,,Buenos Aires,,,,,,,,,,Juarez Alejandra
C. A. Barrio el sol,,Distribución,San Martín,,,M. Ghandi,Los Polvorines,,Buenos Aires,,,,,,,,,,Garayo Stella
C. A. Sociedad de Fomento Magdalena,,Distribución,San Ignacio,,,Cerrito,Los Polvorines,,Buenos Aires,,,,,,,,,,Albornoz Lorena
CABAÑA JOVEN,,Distribución,21 de enero ,301,,,,Pergamino,Buenos Aires,,,(02477) 440804,Lunes a viernes de 8 a 17hs,,,,,,
CAPS 1,Salud,Distribución,Gaceta de Buenos Aires,450,,,Ciudadela,Tres de Febrero,Buenos Aires,,,,Las 24 hs.,,,,,,Sala de espera. Referente: Obstetra Sandra Martínez
CAPS 15,Salud,Distribución,Ingeniero Pereyra,3484,,entre Rucci y Boquerón,Ciudadela Sur,Tres de Febrero,Buenos Aires,,,,Lunes a Viernes de 09:00 a 14:00 hs.,,,,,,Mesa de entradas. Referente: Rocío Rodríguez (adm)
CAPS 2,Salud,Distribución,Marcelo T. de Alvear,,,y Matienzo,José Ingenieros,Tres de Febrero,Buenos Aires,,,,,,,,,,Referente: Obstetra Claudia Rearte
CAPS 2 DE ABRIL,Salud,Distribución,La Trilla,,,y Ciudadela,Barrio Ñandú/Villa Tesei,Hurlingham,Buenos Aires,,,(011) 15 37020898,Lunes a Viernes de 8:00 a 14:00 hs.,,,,,,Responsable del Dispenser: José Luis- Administrativo
CAPS 2 PEDRO LURO,,Distribución,CALLE 12,,,CALLE 25,PEDRO LURO,VILLARINO,Buenos Aires,,,02928-491055,8 A 16 HS,,,,,,
CAPS 25 DE MAYO,Centro de salud,Distribución,Pastor Naranjo,898,,,San Nicolás,,Buenos Aires,,,(03461) 15-405077,,,,,,,
CAPS 3 MÉDANOS,,Distribución,MARTÍN FIERRO ,,,RIVADAVIA,MÉDANOS,VILLARINO,Buenos Aires,,,,7HS. A 14 HS.,,,,,,
CAPS 4,Salud,Distribución,G. Spano,,,y Santos Vega,Villa Bosch,Tres de Febrero,Buenos Aires,,,,Las 24 hs.,,,,,,Sala de espera. Referente: Cynthia Gómez (adm) y Obstetra Sandra Martín
CAPS 4 MAYOR BURATOVICH,,Distribución,CALLE 30 ,,,CALLE 7,MAYOR BURATOVICH,VILLARINO,Buenos Aires,,,,,,,,,,
CAPS 6,Salud,Distribución,Labarden,,,y Perú,Barrio Derqui,Tres de Febrero,Buenos Aires,,,,Lunes a Viernes de 14:00 a 17:00 hs.,,,,,,Sala de espera 1° Piso. Referente: Romina (res T.S.)
CAPS 9,Salud,Distribución,Amianot,,,y Moreno,Pablo Podestá,Tres de Febrero,Buenos Aires,,,,,,,,,,Referente: Mirta Muñoz
CAPS 9 DE JULIO,Centro de salud,Distribución,Del Pozo,,,Jujuy,San Nicolás,,Buenos Aires,,,(03461) 15-405095,,,,,,,
CAPS CONESA,Centro de salud,Distribución,Rivadavia,,,Formosa,San Nicolás,,Buenos Aires,,,(03461) 49-2041,,,,,,,
CAPS DOCTOR ANGEL BO,Salud,Distribución,Lavalle,,,y Potosí,William Morris,Hurlingham,Buenos Aires,,,,De 8:00 a 16:00 hs.,,,,,,Salón Central frente a la Farmacia
CAPS DOCTOR OSCAR BUSTOS,,Distribución,Colodrero,1500,,,Pergamino,Pergamino,Buenos Aires,,,02477 430040,,,,,,,
CAPS LA CUMPARSITA,Centro de salud,Distribución,Sarmiento,1626,,,Capitán Sarmiento,,Buenos Aires,,,,,,,,,,
CAPS LA LOMA,Centro de salud,Distribución,Calle Mármol,,,La Plata,Capitán Sarmiento,,Buenos Aires,,,,,,,,,,
CAPS LOS CACHORROS,,Distribución,Las Margaritas,,,,,,Buenos Aires,,,02320-472100,24 hs,,,,,,
CAPS M. ALBERTI,,Distribución,Pailette,,,Santa Rita,,,Buenos Aires,,,02320-474400/474140,24 hs,,,,,,
CAPS MANZANARES,,Distribución,Argentina,,,Paso de la Patria,,,Buenos Aires,,,02322-490702,24 hs,,,,,,
CAPS PINAZO,,Distribución,Santa Cecilia,,,Copello,,,Buenos Aires,,,02320-401012,24 hs,,,,,,
CAPS RAÚL ARBALLO,,Distribución,Conscripto Silva,648,,,Pergamino,Pergamino,Buenos Aires,,,02477 435570,,,,,,,
CAPS SAN JOSÉ OBRERO,Salud,Distribución,Lavalle,,,y Quequén,William Morris,Hurlingham,Buenos Aires,,san.jose.obrero@hotmail.com,(011) 44525993,Lunes a Viernes de 8:00 a 16:00 hs.,,,,,,"2 Dispensers ( uno en la pared de la Enfermería y otro en Admisión) Colectivos que llevan: 464,463,237 y 390"
CAPS SANTA TERESA,,Distribución,Belice,,,Checoslovaquia,,,Buenos Aires,,,,24 hs,,,,,,
CASA DE LA JUVENTUD,Municipal,Distribución,Avenida Eva Perón,,,y Baradero,Morón Sur,Morón,Buenos Aires,,,(011) 4697-0426,,,,,,,2 Dispensers - Referente: Mariana
CASA PROMOTORA DE SALUD,Casa,Distribución,Ricardo Balbín,1237,,,Barrio Villa Vengochea,General Rodríguez,Buenos Aires,,,,,,,,,,Referente: Laura Gusoni
CEAT N° 1,Centro de estimulación temprana,Distribución,Liniers ,950,,,,Pergamino,Buenos Aires,,,(02477) 437036,Lunes a viernes de 8 a 17hs,,,,,,
CEMPRE,Centro de medicina preventiva,Distribución,Pellegrini,111,,Rivadavia,San Nicolás,,Buenos Aires,,,(03461) 50-8835,,,,,,,
CEMSA,Salud,Distribución,San Martín,471,,,,Morón,Buenos Aires,,,(011) 4489-0852,,,,,,,"Referente: Augusto, Daniel"
"CENTRO ""VIVIR SIN VIOLENCIA"" MUNICIPAL",Municipal,Distribución,Rivadavia,775,,,,General Rodríguez,Buenos Aires,,,(0237) 4844878,De 08:00 a 14:00 hs.,,,,,,Pasillo Central
CENTRO ASISTENCIAL DE HILARIO ASCASUBI,Centro de Asistencia,Distribución,ING. URGOITTI ,269,,,HILARIO ASCASUBI,VILLARINO,Buenos Aires,,,,,,,,,,RESPONSABLE: FABIANA CEVALLOS
CENTRO COMUNITARIO DE CUARTEL V,Municipal,Distribución,Obrador Municipal,,,,,Moreno,Buenos Aires,,,(0237) 4629034,,,,,,,
CENTRO CULTURAL EL GALPON DE CLAYPOLE,Centro cultural,Distribución,Aquino,525,,,Claypole,,Buenos Aires,,monona_76_86@hotmail.com/ mvperezavila@yahoo.com.ar,4238-8454,,,,,,,
CENTRO CULTURAL EL HORNERO,Centro cultural,Distribución,El Litoral,808,,,Lomas de Zamora,,Buenos Aires,,,,Miercoles de 16 a 18 y Viernes de 18 a 21,,,,,,
CENTRO CULTURAL EL TRANSFORMADOR,Centro cultural,Distribución,Caseros,,,esquina Lavallol,Haedo Norte,Morón,Buenos Aires,,,(011) 4659-8757,,3 Dispensers - Referente: Aylin Fernández,,,,,
CENTRO CULTURAL LA CASA DEL PUEBLO,Centro cultural,Distribución,Marcos Sastre,57,,,Haedo Centro,Morón,Buenos Aires,,,(011) 4659-5516,,Referente: Mariano,,,,,
CENTRO CULTURAL LA GLORIOSA,Centro Cultural,Distribución,Camino Negro,3701,,Amberes,Lomas de Zamora,,Buenos Aires,,,,,,,,,,
CENTRO DE ADULTOS MAYORES,Centro de salud,Distribución,Soler,255,,entre Olazábal y Mansilla,,Ituzaingó,Buenos Aires,,,,,,,,,,
CENTRO DE ATENCIÓN PRIMARIA DE ITUZAINGÓ (CAMPI),Centro de Salud,Distribución,Brandsen,3859,,entre Schweitzer y Calanzans,,Ituzaingó,Buenos Aires,,,,,CAPS 09918,,,,,
CENTRO DE ENTRENAMIENTO PERGAMINO,,Distribución,Ruta 8 ,,,,,Pergamino,Buenos Aires,,,,,,,,,,
CENTRO DE ETS,Salud,Distribución,Libertador,,,y Güemes,,Moreno,Buenos Aires,,,(0237) 4662448,Lunes a Viernes de 8:00 a 18:00 hs.,2 Dispensers,,,,,
CENTRO DE FORMACION PROFESIONAL 405,,Distribución,Cerrito,290,,,Lomas de Zamora,,Buenos Aires,,,,,,,,,,
"CENTRO DE LA MUJER Y FAMILIA ""EVITA""",Municipal,Distribución,Presidente Perón,8737,,,Pablo Podestá,Tres de Febrero,Buenos Aires,,,,,Referente: Gabriel Restuccia ( Op. Común),,,,,
"CENTRO DE SALUD ""CRISTINA CORNOU""",Salud,Distribución,Dorrego,2766,,,,Moreno,Buenos Aires,,,,Lunes a Viernes de 9:00 a 21:00 hs.,Referente: María Rodríguez,,,,,
"CENTRO DE SALUD ""EVA PERÓN""",Salud,Distribución,Catamarca,2166,,,Mar del Plata,General Pueyrredón,Buenos Aires,,,,Lunes a Viernes de 10:00 a 20:30 hs.,Responsable: Marta Guerra,,,,,
"CENTRO DE SALUD ""MERCEDES SOSA""",Salud,Distribución,Eva Perón,,,y Baradero,Morón Sur,Morón,Buenos Aires,,,(011) 4697-0312,,2 Dispensers - Referente: Administrativo/a CAPS,,,,,
CENTRO DE SALUD ALMAFUERTE,Salud,Distribución,G. Pérez,131,,,Morón Sur,Morón,Buenos Aires,,,(011) 4697-9407,,Región Sanitaria VII - UGC 6,,,,,
CENTRO DE SALUD AZUCENA VILLAFLOR,,Distribución,Avenida Mitre,1340,,,Avellaneda,,Buenos Aires,,,,Lunes a Viernes 9 a 20,,,,,,
CENTRO DE SALUD DOCTOR GELPI,Salud,Distribución,Miró,,,y Batbeder,Castelar Sur,Morón,Buenos Aires,,,(011) 4692-5547,,Región Sanitaria VII - UGC 5,,,,,
CENTRO DE SALUD DOCTOR MONTE,Salud,Distribución,Cartagena,,,y Grito de Alcorta,Morón Sur,Morón,Buenos Aires,,,(011) 4697-0915,,Región Sanitaria VII - UGC 6 - 2 Dispensers,,,,,
CENTRO DE SALUD DR. SPRINGOLO,Salud,Distribución,General Galán,655,,,El Palomar,Morón,Buenos Aires,,,(011) 4751-8961/3791,,Región Sanitaria VII - UGC 3 - 3 Dispensers,,,,,
CENTRO DE SALUD EL PARQUE,Centro de Salud,Distribución,,,,,Florencio Varela,,Buenos Aires,,,02229-493584,Viernes 15 a 18,Ruta 36 antes de llegar al Barrio Pepsi,,,,,
CENTRO DE SALUD ESMERALDA,Centro de Salud,Distribución,Avenida 13 de diciembre,,,,Florencio Varela,,Buenos Aires,,,4237-3423,,,,,,,
CENTRO DE SALUD JUANA AZURDUY,Salud,Distribución,Berlín,3870,,,Castelar Sur,Morón,Buenos Aires,,,(011) 4692-5399/5398,,Región Sanitaria VII - UGC 5 - 2 Dispensers,,,,,
CENTRO DE SALUD LOMA VERDE,Salud,Distribución,Curuchet,2531,,,Castelar Norte,Morón,Buenos Aires,,,(011) 4489-5497,,Región Sanitaria VII - UGC 4,,,,,
CENTRO DE SALUD LUIS DOCTOR LUIS R. WINTER,Salud,Distribución,R. Castillo,151,,,El Palomar,Morón,Buenos Aires,,,(011) 4450-3673,,Región Sanitaria VII - UGC 3 ,,,,,
CENTRO DE SALUD MALVINAS,Centro de Salud,Distribución,Los Quebrachos,,,El Car,Florencio Varela,,Buenos Aires,,,4268-2052,,,,,,,
CENTRO DE SALUD MALVINAS ARGENTINAS,Salud,Distribución,Marconi,,,y Namuncurá,Barrio Carlos Gardel,Morón,Buenos Aires,,,(011) 4751-8961/3791,,Región Sanitaria VII - Referente: Administrativo/a CAPS - 2 Dispensers,,,,,
CENTRO DE SALUD Nº 3 BARRIO LINDO,Centro de Salud,Distribución,Portugal,,,Yatay,Malvinas Argentinas,,Buenos Aires,,,4296-5839,Lunes a Viernes de 8 a 18,Sala de Espera,,,,,
CENTRO DE SALUD Nº 8 EL ENCUENTRO,Centro de Salud,Distribución,Ituzaingo,,,Serrano,Malvinas Argentinas,,Buenos Aires,,,4293-1110,Lunes a Viernes de 8 a 17,Sala de Espera,,,,,
CENTRO DE SALUD PADRE MUGICA,Centro de Salud,Distribución,El Boyero,,,,Florencio Varela,,Buenos Aires,,,4268-2197,Jueves desde 10,entre Los Olivos y Los Algarrobos,,,,,
CENTRO DE SALUD PAULO FREIRE,Centro de Salud,Distribución,Belgrano,1518,,,Florencio Varela,,Buenos Aires,,,,Lunes a Viernes 12.30 a 20.30,,,,,,
CENTRO DE SALUD PICO DE ORO,Centro de Salud,Distribución,Yugoslavia,,,La Hoya,Florencio Varela,,Buenos Aires,,,4274-2199,Jueves 10 a 12 y Martes 15 a 16,,,,,,
CENTRO DE SALUD PRESIDENTE IBÁÑEZ,Salud,Distribución,Avellaneda,2647,,,Morón Sur,Morón,Buenos Aires,,,(011) 4697-1141/1539,,Región Sanitaria VII - UGC 6 - 2 Dispensers,,,,,
CENTRO DE SALUD PRESIDENTE PERON,Centro de Salud,Distribución,Ruta 2 ,"kilometro 31,5",,,Florencio Varela,,Buenos Aires,,,4221-1048,Viernes 8.30 a 11.30,Edificio 60,,,,,
CENTRO DE SALUD PRIMERO DE JUNIO,Salud,Distribución,República Oriental del Uruguay,47,,,Morón Centro,Morón,Buenos Aires,,,(011) 15 4975-5868,Lunes a Viernes de 9:00 a 21:00 hs.,Referente: Daniel Dellianave,,,,,
CENTRO DE SALUD SAN CALAL,Centro de salud,Distribución,Marcelo Fitte ,,,General Pico,Barrio San Calal,Adolfo Sourdeaux,Buenos Aires,,,,Lunes a viernes de 8 a 16hs,,,,,,"Expendedores libres, boca externa."
CENTRO DE SALUD SAN EDUARDO,Centro de Salud,Distribución,Esperandio,,,Rodriguez Peña,Florencio Varela,,Buenos Aires,,,4255-1045,Martes 16 a 19 y Lunes 11.30 a 14.30,,,,,,
CENTRO DE SALUD SAN FRANCISCO,Salud,Distribución,Santa Marta,1871,,,Morón Sur,Morón,Buenos Aires,,,(011) 4690-1475,,,,,,,Región Sanitaria VII - UGC 6 - 2 Dispensers
CENTRO DE SALUD SAN FRANCISCO,Centro de Salud,Distribución,Calle 1336,,,,Florencio Varela,,Buenos Aires,,,4274-3782,Martes 14 a 15.30 y Miercoles 9 a 10.30,,,,,,
CENTRO DE SALUD VILLA HUDSON,Centro de Salud,Distribución,Tronador,,,Pozos,Florencio Varela,,Buenos Aires,,,4213-9318,,,,,,,
CENTRO DE SALUD VILLA RIVADAVIA,Salud,Distribución,O. Magnasco,933,,,Haedo,Morón,Buenos Aires,,,(011) 4460-2145,,,,,,,Región Sanitaria VII - UGC 2
CENTRO DE SALUS LA SIRENA,Centro de Salud,Distribución,Guido Spano,1071,,,Florencio Varela,,Buenos Aires,,,4236-3417,Martes 9 a 12,,,,,,Sobre Ruta 4
CENTRO IMRI,,Distribución,Rodo,,,Moctezuma,Avellaneda,,Buenos Aires,,,,,,,,,,
CENTRO INTEGRADOR COMUNITARIO,,Distribución,Irala,,,Vertiz,Avellaneda,,Buenos Aires,,,,,,,,,,
CENTRO MATERNO INFANTIL,Centro materno infantil,Distribución,Garibaldi,600,,,Coronel Suárez,Coronel Suárez,Buenos Aires,,,,De 6 a 14hs.,,,,,,
"CENTRO MUNICIPAL PARA MUJERES EN SITUACIÓN DE VIOLENCIA CONYUGAL ""VIVIR SIN VIOLENCIA""",Municipal,Distribución,Mendoza,289,,esquina Alem,,Morón,Buenos Aires,,,(011) 4489-7777 ( Interno 5241) Línea gratuita 0800-345-68537,,,,,,,
"CENTRO SOCIAL DE LA TERCERA EDAD ""LOS NONOS""",,Distribución,,,,,Don Orione/Claypole,,Buenos Aires,,,,Lunes a Viernes de 10 a 12 y de 14 a 16,,,,,,Manzana 15 frente a manzana 14
CHE SIDA - FACULTAD DE CIENCIAS SOCIALES,Educación,Distribución,Aristóbulo del Valle,5737,,,Olavarría,Olavarría,Buenos Aires,,,(02284) 450115 interno 307 o 308,,,,,,,Responsable: Vanina Conde. 2 Dispensers
CIC BARRIO VILLA PROGRESO,Boca externa,Distribución,Avenida 20 de diciembre,,,Azzara,Rojas,,Buenos Aires,,,(02475) 464601,Lunes a viernes de 7 a 18hs,,,,,,
CIC DE ALBERDI,,Distribución,Presidente Illia,,,Lebensohn,Alberdi,Alem,Buenos Aires,,,02362 15566536,,,,,,,
CIC LA BIBIANA,Municipal,Distribución,O brien,,,y Ruta 23,,Moreno,Buenos Aires,,,(0237) 4681156,Lunes a Viernes de 8:00 a 18:00 hs.,,,,,,
CIC SPURR,,Distribución,ESMERALDA,1450,,,BAHÍA BLANCA,BAHÍA BLANCA,Buenos Aires,,,0291-4964730,HASTA LAS 15:30 HS,,,,,,RESPONSABLE: MARINA SUÁREZ
CLUB ATLANTA,Club,Distribución,,,,,Morse,Junín,Buenos Aires,,,02362 15312012,,,,,,,
CLUB SOCIAL Y DEPORTIVO DEFENSORES DE DON ORIONE,Club,Distribución,Eva Peron,,,,Don Orione/Claypole,,Buenos Aires,,,,"Martes, Miercoles y Jueves de 18 a 20",,,,,,Frente a Manzana 48
CLUB VILLA BELGRANO,Club,Distribución,Avenida Libertad,935,,,Junín,Junín,Buenos Aires,,,02362 15458354,,,,,,,
CM 1,Salud,Distribución,Pasteur,,,,Ejército de los Andes,Tres de Febrero,Buenos Aires,,,,Lunes a Viernes de 08:00 a 12:00 hs.,,,,,,Sala de espera. Referente: Obstetra Claudia Albornoz
CM 2,Salud,Distribución,G. Ezeiza,10050,,,Loma Hermosa,Tres de Febrero,Buenos Aires,,,,,,,,,,Referente: Obstetra Flavia Obispo
COMEDOR BARRIO SAN MARTÍN,ONG,Distribución,San Martín,s/n,,esquina Moreno,,General Rodríguez,Buenos Aires,,,,De 09:00 a 15:00 hs.,,,,,,Referente: Señora Olga
CONFITERÍA,Confitería,Distribución,Maciel,,,Entre San Martín y Avenida Santagada ,Coronel Dorrego,Coronel Dorrego,Buenos Aires,,,0291 452312,"Viernes, sábados y domingos de 01 a 6hs.",,,,,,
CONFITERIA BAILABLE EL ALAMO,Local,Distribución,Río Neuquén,,,Patagonia,Monte Hermoso,Monte Hermoso,Buenos Aires,,,02921 15401321,,,,,,,
Consultorio Centro Malvinas Argentinas,,Distribución,San Martín,,,Piedras,Los Polvorines,,Buenos Aires,,,4660-2131,De 8 a 18hs,,,,,,Berst Cristina
COOPERATIVA GPMF,Supermercado,Distribución,Almirante Brown,480,,,,Luján,Buenos Aires,,,,Lunes a Viernes de 09:00 a 13:00 y de 14:00 a 20:00 hs.,,,,,,Referente: Erika Hazi
COORDINADORA ENFERMERÍA,Salud,Distribución,Libertador,,,y Güemes,,Moreno,Buenos Aires,,,(0237) 4662451,Lunes a Viernes de 8:00 a 18:00 hs.,,,,,,
CORRALON MUNICIPAL,,Distribución,Larralde,,,Condarco,Avellaneda,,Buenos Aires,,,,,,,,,,
CPA ,,Distribución,Lavalle,929,,,Junín,Junín,Buenos Aires,,,02362 428403,,,,,,,
CRUS ROJA FILIAL NECOCHEA,ONG,Distribución,Calle 521,3030,,,Necochea,Necochea,Buenos Aires,,necochea@cruzroja.org.ar,(02262) 452030,,,,,,,
CRUZ ROJA,,Distribución,Saenz,749,,,Lomas de Zamora,,Buenos Aires,,ld-zamora@cruzroja.org.ar,4245-9275,,,,,,,
CRUZ ROJA FILIAL MAR DEL PLATA,ONG,Distribución,Rivadavia,3969,,,Mar del Plata,General Pueyrredón,Buenos Aires,,md-plata@cruzroja.org.ar,(0223) 4723824,,,,,,,
CRUZ ROJA FILIAL QUILMES,,Distribución,Mitre,229,,,Quilmes,,Buenos Aires,,quilmes@cruzroja.org.ar,4253-1174,,,,,,,
CRUZ ROJA FILIAL SAN NICOLAS,Cruz Roja,Distribución,Sarmiento,32,,,San Nicolás,,Buenos Aires,,s-nicolas@cruzroja.org.ar,(03461) 43-9200,,,,,,,
